ID_POL;Antigüedad;Forma_Pago;Comb;Sexo;Bonus_RC;start_date;end_date;Expuestos;Edad_FMT;Valor_FMT;Potencia_FMT;Peso_FMT;Carnet_FMT
B80126;10;A;D;1;50;42736;43043;307;04.35-50;04.20-24k;05.130-150;04. 1400;04.8-
B80127;8;A;G;2;50;42736;43047;311;03.28-35;01.<10k;01.<70;03. 1200;04.8-
B80128;10;A;D;1;50;42736;43044;308;03.28-35;03.16-20k;03.90-110;04. 1400;04.8-
B80129;10;A;D;2;20;42736;43058;322;04.35-50;03.16-20k;03.90-110;04. 1400;04.8-
B80130;5;A;G;1;50;42736;43057;321;06.>=65;02.10-16k;02.70-90;03. 1200;04.8-
B80131;10;A;D;2;30;42736;43043;307;02.25-28;01.<10k;01.<70;02. 1000;03.5-7
B80132;7;A;D;2;50;42736;43043;307;03.28-35;05.24-30k;05.130-150;06. 1800;04.8-
B80134;4;S;D;1;0;42736;43045;309;02.25-28;04.20-24k;04.110-130;04. 1400;02.2-4
B80135;6;A;D;2;50;42736;43043;307;03.28-35;02.10-16k;03.90-110;03. 1200;03.5-7
B80136;0;A;D;2;50;42868;43066;198;04.35-50;03.16-20k;04.110-130;05. 1600;04.8-
B80136;0;A;D;2;50;42865;42867;2;04.35-50;03.16-20k;04.110-130;05. 1600;04.8-
B80136;10;A;D;2;50;42736;42864;128;04.35-50;03.16-20k;03.90-110;04. 1400;04.8-
B80137;5;A;D;1;50;42736;43054;318;05.50-65;04.20-24k;06.150-200;05. 1600;04.8-
B80138;1;A;D;1;50;42736;43044;308;04.35-50;02.10-16k;03.90-110;05. 1600;04.8-
B80139;10;A;D;1;30;42736;43043;307;04.35-50;05.24-30k;04.110-130;05. 1600;04.8-
B80140;9;A;D;1;50;42736;43043;307;05.50-65;02.10-16k;04.110-130;04. 1400;04.8-
B80141;8;S;D;1;0;42736;43043;307;06.>=65;03.16-20k;04.110-130;04. 1400;04.8-
