ID_POL;Antigüedad;Forma_Pago;Potencia;Peso;Valor;Comb;Sexo;Edad;Carnet;Bonus_RC;start_date;end_date
B80126;10;A;140;1340;22067,59;D;1;44;10;50;01/01/2017;04/11/2017
B80127;8;A;65;1016;9792,57;G;2;32;10;50;01/01/2017;08/11/2017
B80128;10;A;109;1351;19962,94;D;1;28;10;50;01/01/2017;05/11/2017
B80129;10;A;90;1290;16311,85;D;2;37;10;20;01/01/2017;19/11/2017
B80130;5;A;84;1120;10207,43;G;1;70;10;50;01/01/2017;18/11/2017
B80131;10;A;64;950;8795,3;D;2;27;7;30;01/01/2017;04/11/2017
B80132;7;A;140;1665;25475,16;D;2;32;10;50;01/01/2017;04/11/2017
B80134;4;S;115;1360;21646,21;D;1;26;4;0;01/01/2017;06/11/2017
B80135;6;A;90;1140;13108,93;D;2;29;7;50;01/01/2017;04/11/2017
B80136;0;A;110;1443;17258,26;D;2;46;10;50;13/05/2017;27/11/2017
B80136;0;A;110;1443;17258,26;D;2;46;10;50;10/05/2017;12/05/2017
B80136;10;A;90;1300;16347,95;D;2;46;10;50;01/01/2017;09/05/2017
B80137;5;A;150;1415;23804,04;D;1;50;10;50;01/01/2017;15/11/2017
B80138;1;A;90;1505;14675,49;D;1;44;10;50;01/01/2017;05/11/2017
B80139;10;A;125;1410;26444,53;D;1;37;10;30;01/01/2017;04/11/2017
B80140;9;A;115;1305;13198,27;D;1;61;10;50;01/01/2017;04/11/2017
B80141;8;S;120;1350;19975,61;D;1;66;10;0;01/01/2017;04/11/2017
B80143;5;A;112;1510;25037,23;D;1;52;10;50;01/01/2017;17/12/2017
B80144;10;A;75;1025;9161,57;G;2;27;7;50;01/01/2017;04/11/2017
B80145;10;A;105;1197;12639,19;G;1;65;10;50;01/01/2017;04/11/2017
B80146;10;A;90;1318;14487,81;D;1;35;10;50;01/01/2017;20/11/2017
B80147;7;A;136;1623;24812,3;D;1;34;10;50;01/01/2017;05/11/2017
B80148;9;A;105;1522;15005;D;1;37;10;50;01/01/2017;04/11/2017
B80149;10;A;65;1200;9860,35;D;1;54;10;50;01/01/2017;02/07/2017
B80149;10;A;65;1200;9860,35;D;1;54;10;50;03/07/2017;20/11/2017
B80150;6;A;100;1171;13273,79;D;2;60;10;50;01/01/2017;18/11/2017
B80151;1;A;115;1415;21410,83;D;1;73;10;50;01/01/2017;16/10/2017
B80151;1;A;115;1415;21410,83;D;1;73;10;50;17/10/2017;04/11/2017
B80152;10;A;120;1105;11362,89;G;1;57;10;50;01/01/2017;04/11/2017
B80153;10;A;105;1250;16994,33;D;1;48;10;50;01/01/2017;05/11/2017
B80154;6;A;140;1819;22394,82;D;1;42;10;10;01/01/2017;05/11/2017
B80155;10;T;90;1124;10289,78;D;2;20;1;10;01/01/2017;04/11/2017
B80156;10;A;115;1940;21134,17;D;1;44;10;50;01/01/2017;04/11/2017
B80157;10;A;115;1450;20658,47;D;1;42;10;50;01/01/2017;04/11/2017
B80158;7;A;85;1100;13839,69;D;2;31;10;50;01/01/2017;04/11/2017
B80159;6;A;58;970;7819,63;D;2;30;10;20;01/01/2017;04/11/2017
B80160;3;T;90;1290;15212,42;D;2;50;9;0;01/01/2017;04/02/2017
B80161;7;A;120;1320;15048,37;D;2;41;10;50;01/01/2017;10/11/2017
B80162;2;S;130;1498;20937;D;1;46;10;50;01/01/2017;08/11/2017
B80163;10;A;110;1259;14854,28;D;2;47;10;50;18/01/2017;31/12/2017
B80164;9;A;177;1595;29349,59;D;1;41;10;50;01/01/2017;14/11/2017
B80165;10;S;150;1345;19926,37;G;1;39;10;50;01/01/2017;04/11/2017
B80166;10;A;136;1450;21771,5;D;1;31;10;0;01/01/2017;04/11/2017
B80167;10;A;120;1270;14813,01;D;2;36;1;30;01/01/2017;04/11/2017
B80168;10;A;120;1585;22032,87;D;1;34;10;20;01/01/2017;04/11/2017
B80169;10;A;136;1120;0;G;1;56;10;20;01/01/2017;04/11/2017
